record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,,,,AND,UE,11380,VDHW,N62472800,E136511300,,N62472800,E136511300,W0160,00984,2,,503,WGE,TEPLYY KLYUCH,S,Simulation application continuation,UN,W0162,00984,71549,2501,SEEUD        AND   UE111380VDHW N62472800E136511300    N62472800E136511300W0160009842  503WGETEPLYY KLYUCH                 ,SEEUD        AND   UE2S    UN                                             W016200984                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,BCU,LR,10940,VDU,N46303930,E026493200,,N46303930,E026493200,E0070,01800,3,,418,WGE,BACAU,S,Simulation application continuation,UN,E0068,,71599,2509,SEEUD        BCU   LR110940VDU  N46303930E026493200    N46303930E026493200E0070018003  418WGEBACAU                         ,SEEUD        BCU   LR2S    UN                                             E0068                                            ,9,"navaid_class,station_declination,figure_of_merit,sim_cont_sim_facility_characteristics,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,,,,BHY,ZG,11710,VDHW,N21351200,E109255400,,N21351200,E109255400,W0020,00115,2,,525,WGE,NANKANG,S,Simulation application continuation,UN,W0023,00115,71613,1913,SEEUD        BHY   ZG111710VDHW N21351200E109255400    N21351200E109255400W0020001152  525WGENANKANG                       ,SEEUD        BHY   ZG2S    UN                                             W002300115                                       ,3,"frequency_protection,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,D,,,,,BJZ,ZB,10820,VDHW,N40031800,E113293600,,N40031800,E113293600,W0060,03467,2,,,WGE,BEIJIAZAO,S,Simulation application continuation,UN,W0067,03467,71619,2411,SEEUD        BJZ   ZB110820VDHW N40031800E113293600    N40031800E113293600W0060034672     WGEBEIJIAZAO                     ,SEEUD        BJZ   ZB2S    UN                                             W006703467                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,BLZ,UL,11040,VDHW,N60010200,E037451900,,N60010200,E037451900,E0130,00459,2,,411,WGE,BELOZERSK,S,Simulation application continuation,UN,E0144,00459,71635,2112,SEEUD        BLZ   UL111040VDHW N60010200E037451900    N60010200E037451900E0130004592  411WGEBELOZERSK                     ,SEEUD        BLZ   UL2S    UN                                             E014400459                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,BRT,UM,11375,VDH,N52063370,E023531570,,N52063370,E023531570,E0070,00500,2,,493,WGE,BREST,S,Simulation application continuation,UU,E0076,00500,71649,1912,SEEUD        BRT   UM111375VDH  N52063370E023531570    N52063370E023531570E0070005002  493WGEBREST                         ,SEEUD        BRT   UM2S    UU                                             E007600500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,BTG,UE,11350,VDHW,N67384500,E134414700,,N67384500,E134414700,W0180,00689,2,,,WGE,BATAGAY,S,Simulation application continuation,UN,W0180,00689,71659,2410,SEEUD        BTG   UE111350VDHW N67384500E134414700    N67384500E134414700W0180006892     WGEBATAGAY                       ,SEEUD        BTG   UE2S    UN                                             W018000689                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,BUG,LH,11340,VDH,N46404000,E019405400,,N46404000,E019405400,E0050,00407,2,,338,WGE,BUGAC,S,Simulation application continuation,UN,E0057,00407,71667,2106,SEEUD        BUG   LH111340VDH  N46404000E019405400    N46404000E019405400E0050004072  338WGEBUGAC                         ,SEEUD        BUG   LH2S    UN                                             E005700407                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,CGT,ZS,11250,VDLW,N31123600,E121113600,,N31123600,E121113600,W0060,00079,1,,362,WGE,CHONGGU,S,Simulation application continuation,UN,W0065,00079,71689,1904,SEEUD        CGT   ZS111250VDLW N31123600E121113600    N31123600E121113600W0060000791  362WGECHONGGU                       ,SEEUD        CGT   ZS2S    UN                                             W006500079                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,CHF,ZY,11550,VDHW,N42112400,E118484200,,N42112400,E118484200,W0090,02454,2,,464,WGE,CHIFENG,S,Simulation application continuation,UN,W0088,02454,71691,2207,SEEUD        CHF   ZY111550VDHW N42112400E118484200    N42112400E118484200W0090024542  464WGECHIFENG                       ,SEEUD        CHF   ZY2S    UN                                             W008802454                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,CLJ,LR,11120,VDHW,N46480060,E023471410,,N46480060,E023471410,E0050,01600,2,,416,WGE,CLUJ NAPOCA,S,Simulation application continuation,UY,E0064,,71703,2507,SEEUD        CLJ   LR111120VDHW N46480060E023471410    N46480060E023471410E0050016002  416WGECLUJ NAPOCA                   ,SEEUD        CLJ   LR2S    UY                                             E0064                                            ,7,"vor_latitude,dme_latitude,sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,,,,CMP,EP,11450,VDH,N52080000,E016430900,,N52080000,E016430900,E0050,00300,2,,527,WGE,CZEMPIN,S,Simulation application continuation,UU,E0059,00300,71705,2406,SEEUD        CMP   EP111450VDH  N52080000E016430900    N52080000E016430900E0050003002  527WGECZEMPIN                       ,SEEUD        CMP   EP2S    UU                                             E005900300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,CND,LR,11270,VDH,N44170800,E028284200,,N44170800,E028284200,E0070,00300,2,,486,WGE,CONSTANTA,S,Simulation application continuation,UU,E0066,00300,71707,2309,SEEUD        CND   LR111270VDH  N44170800E028284200    N44170800E028284200E0070003002  486WGECONSTANTA                     ,SEEUD        CND   LR2S    UU                                             E006600300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,CRV,LR,11020,VDH,N44190700,E023552190,,N44190700,E023552190,E0050,00600,2,,368,WGE,CRAIOVA,S,Simulation application continuation,UN,E0060,00600,71717,2404,SEEUD        CRV   LR111020VDH  N44190700E023552190    N44190700E023552190E0050006002  368WGECRAIOVA                       ,SEEUD        CRV   LR2S    UN                                             E006000600                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,DAR,EP,11420,VDHW,N54243700,E016231700,,N54243700,E016231700,E0040,00100,2,,386,WGE,DARLOWO,S,Simulation application continuation,UN,E0061,00100,71731,2406,SEEUD        DAR   EP111420VDHW N54243700E016231700    N54243700E016231700E0040001002  386WGEDARLOWO                       ,SEEUD        DAR   EP2S    UN                                             E006100100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,DBL,ZY,11540,VDHW,N38574200,E121341200,,N38574200,E121341200,W0070,00194,2,,598,WGE,DALIAN,S,Simulation application continuation,UN,W0086,00194,71739,1708,SEEUD        DBL   ZY111540VDHW N38574200E121341200    N38574200E121341200W0070001942  598WGEDALIAN                        ,SEEUD        DBL   ZY2S    UN                                             W008600194                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,DEM,UE,11380,VDHW,N62322800,E114011500,,N62322800,E114011500,W0120,01378,2,,427,WGE,MIRNY,S,Simulation application continuation,UN,W0120,01378,71747,2201,SEEUD        DEM   UE111380VDHW N62322800E114011500    N62322800E114011500W0120013782  427WGEMIRNY                         ,SEEUD        DEM   UE2S    UN                                             W012001378                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,,,,DGP,EV,11410,VDLW,N55565000,E026403200,,N55565000,E026403200,E0059,00400,1,,294,WGE,DAUGAVPILS,S,Simulation application continuation,UN,E0094,00400,71749,1103,SEEUD        DGP   EV111410VDLW N55565000E026403200    N55565000E026403200E0059004001  294WGEDAUGAVPILS                    ,SEEUD        DGP   EV2S    UN                                             E009400400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
