record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,BNN,ZP,11630,VDHW,N21584800,E100451800,,N21584800,E100451800,W0010,01837,2,,266,WGE,XISHUANGBANNA,S,Simulation application continuation,UN,W0012,01837,71639,1806,SEEUD        BNN   ZP111630VDHW N21584800E100451800    N21584800E100451800W0010018372  266WGEXISHUANGBANNA                 ,SEEUD        BNN   ZP2S    UN                                             W001201837                                       
S,EEU,D,,,,,BNO,LK,11445,VDH,N49090023,E016413329,,N49090023,E016413329,E0050,00800,2,,318,WGE,BRNO,S,Simulation application continuation,UN,E0054,00800,71641,2106,SEEUD        BNO   LK111445VDH  N49090023E016413329    N49090023E016413329E0050008002  318WGEBRNO                          ,SEEUD        BNO   LK2S    UN                                             E005400800                                       
S,EEU,D,,,,,BNU,UA,11500,VDHW,N45202300,E055072100,,N45202300,E055072100,E0070,00001,2,,369,WGE,BEINEU,S,Simulation application continuation,UY,E0084,,71643,2108,SEEUD        BNU   UA111500VDHW N45202300E055072100    N45202300E055072100E0070000012  369WGEBEINEU                        ,SEEUD        BNU   UA2S    UY                                             E0084                                            
S,EEU,D,,,,,BRP,UK,11590,VDHW,N50170850,E030540350,,N50170850,E030540350,E0070,00423,2,,481,WGE,BORYSPIL (KYIV),S,Simulation application continuation,UN,E0084,00423,71645,1812,SEEUD        BRP   UK111590VDHW N50170850E030540350    N50170850E030540350E0070004232  481WGEBORYSPIL (KYIV)               ,SEEUD        BRP   UK2S    UN                                             E008400423                                       
S,EEU,D,,,,,BRT,UI,11360,VDHW,N56221950,E101410890,,N56221950,E101410890,W0020,01575,2,,,WGE,BRATSK,S,Simulation application continuation,UN,W0032,01575,71647,1903,SEEUD        BRT   UI111360VDHW N56221950E101410890    N56221950E101410890W0020015752     WGEBRATSK                        ,SEEUD        BRT   UI2S    UN                                             W003201575                                       
S,EEU,D,,,,,BRT,UM,11375,VDH,N52063370,E023531570,,N52063370,E023531570,E0070,00500,2,,493,WGE,BREST,S,Simulation application continuation,UU,E0076,00500,71649,1912,SEEUD        BRT   UM111375VDH  N52063370E023531570    N52063370E023531570E0070005002  493WGEBREST                         ,SEEUD        BRT   UM2S    UU                                             E007600500                                       
S,EEU,D,,,,,BRV,LR,11760,VDHW,N45340300,E025335300,,N45340300,E025335300,E0060,05900,2,,439,WGE,BRASOV,S,Simulation application continuation,UN,E0064,05900,71651,1909,SEEUD        BRV   LR111760VDHW N45340300E025335300    N45340300E025335300E0060059002  439WGEBRASOV                        ,SEEUD        BRV   LR2S    UN                                             E006405900                                       
S,EEU,D,,,,,BSE,ZG,11590,VDHW,N23552400,E106360600,,N23552400,E106360600,W0020,00620,2,,412,WGE,BOSE,S,Simulation application continuation,UN,W0022,00620,71653,2208,SEEUD        BSE   ZG111590VDHW N23552400E106360600    N23552400E106360600W0020006202  412WGEBOSE                          ,SEEUD        BSE   ZG2S    UN                                             W002200620                                       
S,EEU,D,,,,,BTG,UE,11350,VDHW,N67384500,E134414700,,N67384500,E134414700,W0180,00689,2,,,WGE,BATAGAY,S,Simulation application continuation,UN,W0180,00689,71659,2410,SEEUD        BTG   UE111350VDHW N67384500E134414700    N67384500E134414700W0180006892     WGEBATAGAY                       ,SEEUD        BTG   UE2S    UN                                             W018000689                                       
S,EEU,D,,,,,BTO,ZB,11590,VDHW,N38061800,E116343600,,N38061800,E116343600,W0060,00001,2,,523,WGE,POTOU,S,Simulation application continuation,UN,W0071,,71663,1106,SEEUD        BTO   ZB111590VDHW N38061800E116343600    N38061800E116343600W0060000012  523WGEPOTOU                         ,SEEUD        BTO   ZB2S    UN                                             W0071                                            
S,EEU,D,,,,,BUD,LH,11730,VDHA,N47270160,E019145800,,N47270140,E019145750,E0050,00531,2,,387,WGE,BUDAPEST,S,Simulation application continuation,UN,E0057,,71665,2101,SEEUD        BUD   LH111730VDHA N47270160E019145800    N47270140E019145750E0050005312  387WGEBUDAPEST                      ,SEEUD        BUD   LH2S    UN                                             E0057                                            
S,EEU,D,,,,,BUG,LH,11340,VDH,N46404000,E019405400,,N46404000,E019405400,E0050,00407,2,,338,WGE,BUGAC,S,Simulation application continuation,UN,E0057,00407,71667,2106,SEEUD        BUG   LH111340VDH  N46404000E019405400    N46404000E019405400E0050004072  338WGEBUGAC                         ,SEEUD        BUG   LH2S    UN                                             E005700407                                       
S,EEU,D,,,,,BYZ,EP,11270,VDH,N53055430,E017581820,,N53055430,E017581820,E0060,00300,2,,336,WGE,BYDGOSZCZ,S,Simulation application continuation,UN,E0063,00300,71677,2406,SEEUD        BYZ   EP111270VDH  N53055430E017581820    N53055430E017581820E0060003002  336WGEBYDGOSZCZ                     ,SEEUD        BYZ   EP2S    UN                                             E006300300                                       
S,EEU,D,,,,,BZW,US,11160,VDHW,N63552000,E065025200,,N63552000,E065025200,E0210,00100,2,,404,WGE,BEREZOVO,S,Simulation application continuation,UY,E0216,00100,71679,2112,SEEUD        BZW   US111160VDHW N63552000E065025200    N63552000E065025200E0210001002  404WGEBEREZOVO                      ,SEEUD        BZW   US2S    UY                                             E021600100                                       
S,EEU,D,,,,,CDX,ZU,11635,VDHW,N31150000,E104224800,,N31150000,E104224800,W0020,01772,2,,,WGE,DEXIN,S,Simulation application continuation,UN,W0026,01772,71681,1901,SEEUD        CDX   ZU111635VDHW N31150000E104224800    N31150000E104224800W0020017722     WGEDEXIN                         ,SEEUD        CDX   ZU2S    UN                                             W002601772                                       
S,EEU,D,,,,,CEH,ZP,11340,VDHW,N26395400,E100431200,,N26395400,E100431200,W0010,08625,2,,390,WGE,CHENGHAI,S,Simulation application continuation,UY,W0015,08625,71683,1807,SEEUD        CEH   ZP111340VDHW N26395400E100431200    N26395400E100431200W0010086252  390WGECHENGHAI                      ,SEEUD        CEH   ZP2S    UY                                             W001508625                                       
S,EEU,D,,,,,CEN,ZG,11460,VDHW,N23090600,E113250000,,N23090600,E113250000,W0030,00354,2,,555,WGE,CENCUN,S,Simulation application continuation,UN,W0033,00354,71685,2501,SEEUD        CEN   ZG111460VDHW N23090600E113250000    N23090600E113250000W0030003542  555WGECENCUN                        ,SEEUD        CEN   ZG2S    UN                                             W003300354                                       
S,EEU,D,,,,,CGO,ZH,11450,VDHW,N34310600,E113503600,,N34310600,E113503600,W0040,00518,2,,523,WGE,XINZHENG,S,Simulation application continuation,UN,W0056,00518,71687,1711,SEEUD        CGO   ZH111450VDHW N34310600E113503600    N34310600E113503600W0040005182  523WGEXINZHENG                      ,SEEUD        CGO   ZH2S    UN                                             W005600518                                       
S,EEU,D,,,,,CGT,ZS,11250,VDLW,N31123600,E121113600,,N31123600,E121113600,W0060,00079,1,,362,WGE,CHONGGU,S,Simulation application continuation,UN,W0065,00079,71689,1904,SEEUD        CGT   ZS111250VDLW N31123600E121113600    N31123600E121113600W0060000791  362WGECHONGGU                       ,SEEUD        CGT   ZS2S    UN                                             W006500079                                       
S,EEU,D,,,,,CHF,ZY,11550,VDHW,N42112400,E118484200,,N42112400,E118484200,W0090,02454,2,,464,WGE,CHIFENG,S,Simulation application continuation,UN,W0088,02454,71691,2207,SEEUD        CHF   ZY111550VDHW N42112400E118484200    N42112400E118484200W0090024542  464WGECHIFENG                       ,SEEUD        CHF   ZY2S    UN                                             W008802454                                       
S,EEU,D,,,,,CHG,ZY,11450,VDHW,N41321200,E120260000,,N41321200,E120260000,W0080,00600,2,,523,WGE,CHAOYANG,S,Simulation application continuation,UN,W0090,00600,71693,1913,SEEUD        CHG   ZY111450VDHW N41321200E120260000    N41321200E120260000W0080006002  523WGECHAOYANG                      ,SEEUD        CHG   ZY2S    UN                                             W009000600                                       
S,EEU,D,,,,,CHI,ZY,11680,VDHW,N39160000,E122370000,,N39160000,E122370000,W0080,00151,2,,512,WGE,CHANGHAI,S,Simulation application continuation,UN,W0088,00151,71695,1913,SEEUD        CHI   ZY111680VDHW N39160000E122370000    N39160000E122370000W0080001512  512WGECHANGHAI                      ,SEEUD        CHI   ZY2S    UN                                             W008800151                                       
S,EEU,D,,,,,CKG,ZU,11610,VDHW,N29444800,E106391200,,N29444800,E106391200,W0030,01371,2,,514,WGE,JIANGBEI,S,Simulation application continuation,UN,W0029,01371,71701,2413,SEEUD        CKG   ZU111610VDHW N29444800E106391200    N29444800E106391200W0030013712  514WGEJIANGBEI                      ,SEEUD        CKG   ZU2S    UN                                             W002901371                                       
S,EEU,D,,,,,CLJ,LR,11120,VDHW,N46480060,E023471410,,N46480060,E023471410,E0050,01600,2,,416,WGE,CLUJ NAPOCA,S,Simulation application continuation,UY,E0064,,71703,2507,SEEUD        CLJ   LR111120VDHW N46480060E023471410    N46480060E023471410E0050016002  416WGECLUJ NAPOCA                   ,SEEUD        CLJ   LR2S    UY                                             E0064                                            
S,EEU,D,,,,,CMP,EP,11450,VDH,N52080000,E016430900,,N52080000,E016430900,E0050,00300,2,,527,WGE,CZEMPIN,S,Simulation application continuation,UU,E0059,00300,71705,2406,SEEUD        CMP   EP111450VDH  N52080000E016430900    N52080000E016430900E0050003002  527WGECZEMPIN                       ,SEEUD        CMP   EP2S    UU                                             E005900300                                       
S,EEU,D,,,,,CND,LR,11270,VDH,N44170800,E028284200,,N44170800,E028284200,E0070,00300,2,,486,WGE,CONSTANTA,S,Simulation application continuation,UU,E0066,00300,71707,2309,SEEUD        CND   LR111270VDH  N44170800E028284200    N44170800E028284200E0070003002  486WGECONSTANTA                     ,SEEUD        CND   LR2S    UU                                             E006600300                                       
S,EEU,D,,,,,CON,ZG,11300,VDHW,N23351800,E113351200,,N23351800,E113351200,W0030,00253,2,,542,WGE,CONGHUA,S,Simulation application continuation,UN,W0034,00253,71713,2501,SEEUD        CON   ZG111300VDHW N23351800E113351200    N23351800E113351200W0030002532  542WGECONGHUA                       ,SEEUD        CON   ZG2S    UN                                             W003400253                                       
S,EEU,D,,,,,CRV,LR,11020,VDH,N44190700,E023552190,,N44190700,E023552190,E0050,00600,2,,368,WGE,CRAIOVA,S,Simulation application continuation,UN,E0060,00600,71717,2404,SEEUD        CRV   LR111020VDH  N44190700E023552190    N44190700E023552190E0050006002  368WGECRAIOVA                       ,SEEUD        CRV   LR2S    UN                                             E006000600                                       
S,EEU,D,,,,,CSS,ZG,11060,VDHW,N23314800,E116290000,,N23314800,E116290000,W0040,00066,2,,,WGE,CHAOSHAN,S,Simulation application continuation,UY,W0039,00066,71719,1913,SEEUD        CSS   ZG111060VDHW N23314800E116290000    N23314800E116290000W0040000662     WGECHAOSHAN                      ,SEEUD        CSS   ZG2S    UY                                             W003900066                                       
S,EEU,D,,,,,CTU,ZU,11570,VDHW,N30342400,E103563600,,N30342400,E103563600,W0020,01657,2,,467,WGE,SHUANGLIU,S,Simulation application continuation,UN,W0024,01657,71721,2105,SEEUD        CTU   ZU111570VDHW N30342400E103563600    N30342400E103563600W0020016572  467WGESHUANGLIU                     ,SEEUD        CTU   ZU2S    UN                                             W002401657                                       
S,EEU,D,,,,,CZH,ZU,11450,VDHW,N30384200,E103411200,,N30384200,E103411200,W0020,01624,2,,563,WGE,CHONGZHOU,S,Simulation application continuation,UN,W0023,01624,71725,1713,SEEUD        CZH   ZU111450VDHW N30384200E103411200    N30384200E103411200W0020016242  563WGECHONGZHOU                     ,SEEUD        CZH   ZU2S    UN                                             W002301624                                       
S,EEU,D,,,,,CZO,ZS,11380,VDHW,N31551947,E119463297,,N31551947,E119463297,W0040,00052,2,,468,WGE,CHANGZHOU,S,Simulation application continuation,UN,W0064,00052,71727,1708,SEEUD        CZO   ZS111380VDHW N31551947E119463297    N31551947E119463297W0040000522  468WGECHANGZHOU                     ,SEEUD        CZO   ZS2S    UN                                             W006400052                                       
S,EEU,D,,,,,DAL,ZP,11260,VDHW,N25383600,E100192400,,N25383600,E100192400,W0010,07215,2,,543,WGE,DALI,S,Simulation application continuation,UN,W0014,07215,71729,2007,SEEUD        DAL   ZP111260VDHW N25383600E100192400    N25383600E100192400W0010072152  543WGEDALI                          ,SEEUD        DAL   ZP2S    UN                                             W001407215                                       
S,EEU,D,,,,,DAR,EP,11420,VDHW,N54243700,E016231700,,N54243700,E016231700,E0040,00100,2,,386,WGE,DARLOWO,S,Simulation application continuation,UN,E0061,00100,71731,2406,SEEUD        DAR   EP111420VDHW N54243700E016231700    N54243700E016231700E0040001002  386WGEDARLOWO                       ,SEEUD        DAR   EP2S    UN                                             E006100100                                       
S,EEU,D,,,,,DBA,ZJ,11540,VDHW,N19094200,E110263000,,N19094200,E110263000,W0020,00108,2,,207,WGE,BOAO,S,Simulation application continuation,UN,W0021,00108,71735,2113,SEEUD        DBA   ZJ111540VDHW N19094200E110263000    N19094200E110263000W0020001082  207WGEBOAO                          ,SEEUD        DBA   ZJ2S    UN                                             W002100108                                       
S,EEU,D,,,,,DBL,ZY,11540,VDHW,N38574200,E121341200,,N38574200,E121341200,W0070,00194,2,,598,WGE,DALIAN,S,Simulation application continuation,UN,W0086,00194,71739,1708,SEEUD        DBL   ZY111540VDHW N38574200E121341200    N38574200E121341200W0070001942  598WGEDALIAN                        ,SEEUD        DBL   ZY2S    UN                                             W008600194                                       
S,EEU,D,,,,,DCD,ZH,11425,VDHW,N30262400,E114093000,,N30262400,E114093000,W0050,00164,2,,,WGE,CAIDIAN,S,Simulation application continuation,UN,W0048,00164,71741,2411,SEEUD        DCD   ZH111425VDHW N30262400E114093000    N30262400E114093000W0050001642     WGECAIDIAN                       ,SEEUD        DCD   ZH2S    UN                                             W004800164                                       
S,EEU,D,,,,,DCH,ZU,11330,VDHW,N30311800,E097083000,,N30311800,E097083000,W0010,14180,2,,,WGE,BANGDA,S,Simulation application continuation,UN,W0010,14180,71743,1803,SEEUD        DCH   ZU111330VDHW N30311800E097083000    N30311800E097083000W0010141802     WGEBANGDA                        ,SEEUD        DCH   ZU2S    UN                                             W001014180                                       
